DATE,PCEPI_PC1
1960-01-01,1.69555
1960-02-01,1.70642
1960-03-01,1.69281
1960-04-01,1.86335
1960-05-01,1.91197
1960-06-01,1.66512
1960-07-01,1.63074
1960-08-01,1.65926
1960-09-01,1.45186
1960-10-01,1.32564
1960-11-01,1.60083
1960-12-01,1.50708
1961-01-01,1.57533
1961-02-01,1.56757
1961-03-01,1.45655
1961-04-01,1.02439
1961-05-01,0.97460
1961-06-01,0.98027
1961-07-01,1.02109
1961-08-01,0.93441
1961-09-01,0.98842
1961-10-01,0.86008
1961-11-01,0.53124
1961-12-01,0.53715
1962-01-01,0.71209
1962-02-01,0.88624
1962-03-01,1.07371
1962-04-01,1.24940
1962-05-01,1.26078
1962-06-01,1.27223
1962-07-01,0.99874
1962-08-01,1.05801
1962-09-01,1.44110
1962-10-01,1.34518
1962-11-01,1.41716
1962-12-01,1.34470
1963-01-01,1.40212
1963-02-01,1.23700
1963-03-01,1.02650
1963-04-01,0.90611
1963-05-01,1.00083
1963-06-01,1.16099
1963-07-01,1.41776
1963-08-01,1.40979
1963-09-01,0.88789
1963-10-01,1.19697
1963-11-01,1.26118
1963-12-01,1.45125
1964-01-01,1.41819
1964-02-01,1.45800
1964-03-01,1.59499
1964-04-01,1.67779
1964-05-01,1.52766
1964-06-01,1.44783
1964-07-01,1.37445
1964-08-01,1.31980
1964-09-01,1.49613
1964-10-01,1.35847
1964-11-01,1.35657
1964-12-01,1.35459
1965-01-01,1.25269
1965-02-01,1.14615
1965-03-01,1.22107
1965-04-01,1.30149
1965-05-01,1.51630
1965-06-01,1.67082
1965-07-01,1.61655
1965-08-01,1.55734
1965-09-01,1.45095
1965-10-01,1.42114
1965-11-01,1.44802
1965-12-01,1.67060
1966-01-01,1.68029
1966-02-01,2.05925
1966-03-01,2.17142
1966-04-01,2.36880
1966-05-01,2.26622
1966-06-01,2.22539
1966-07-01,2.34348
1966-08-01,2.71349
1966-09-01,2.99145
1966-10-01,3.22967
1966-11-01,3.21297
1966-12-01,3.04833
1967-01-01,2.93152
1967-02-01,2.62639
1967-03-01,2.44012
1967-04-01,2.24675
1967-05-01,2.32233
1967-06-01,2.38906
1967-07-01,2.54053
1967-08-01,2.46975
1967-09-01,2.45643
1967-10-01,2.46648
1967-11-01,2.65565
1967-12-01,2.60626
1968-01-01,3.07895
1968-02-01,3.37745
1968-03-01,3.65532
1968-04-01,3.81391
1968-05-01,3.99234
1968-06-01,3.99062
1968-07-01,3.96088
1968-08-01,4.05676
1968-09-01,4.10389
1968-10-01,4.27571
1968-11-01,4.28295
1968-12-01,4.33524
1969-01-01,4.25645
1969-02-01,4.09584
1969-03-01,4.24124
1969-04-01,4.37582
1969-05-01,4.41231
1969-06-01,4.58716
1969-07-01,4.71935
1969-08-01,4.58568
1969-09-01,4.65273
1969-10-01,4.54968
1969-11-01,4.64231
1969-12-01,4.91012
1970-01-01,4.87568
1970-02-01,5.02679
1970-03-01,4.79504
1970-04-01,4.86497
1970-05-01,4.77486
1970-06-01,4.54135
1970-07-01,4.46674
1970-08-01,4.44931
1970-09-01,4.48553
1970-10-01,4.64312
1970-11-01,4.60850
1970-12-01,4.58729
1971-01-01,4.43436
1971-02-01,4.32945
1971-03-01,4.41569
1971-04-01,4.29205
1971-05-01,4.39862
1971-06-01,4.58861
1971-07-01,4.52417
1971-08-01,4.55044
1971-09-01,4.24079
1971-10-01,3.88954
1971-11-01,3.69082
1971-12-01,3.64181
1972-01-01,3.84903
1972-02-01,3.94951
1972-03-01,3.75545
1972-04-01,3.51429
1972-05-01,3.30156
1972-06-01,3.00738
1972-07-01,3.06230
1972-08-01,3.06718
1972-09-01,3.37201
1972-10-01,3.32591
1972-11-01,3.42342
1972-12-01,3.34673
1973-01-01,3.23408
1973-02-01,3.37381
1973-03-01,3.95508
1973-04-01,4.56535
1973-05-01,4.85424
1973-06-01,5.29174
1973-07-01,5.29957
1973-08-01,6.19943
1973-09-01,6.14985
1973-10-01,6.63119
1973-11-01,7.18576
1973-12-01,7.72223
1974-01-01,8.42665
1974-02-01,9.11494
1974-03-01,9.60620
1974-04-01,9.56511
1974-05-01,10.10500
1974-06-01,10.40240
1974-07-01,10.81536
1974-08-01,10.70075
1974-09-01,11.40464
1974-10-01,11.57574
1974-11-01,11.49787
1974-12-01,11.46091
1975-01-01,11.09102
1975-02-01,10.40715
1975-03-01,9.51035
1975-04-01,9.11218
1975-05-01,8.47490
1975-06-01,8.23921
1975-07-01,8.36881
1975-08-01,7.71054
1975-09-01,7.13249
1975-10-01,6.98551
1975-11-01,6.87113
1975-12-01,6.62081
1976-01-01,6.36643
1976-02-01,5.92553
1976-03-01,5.72627
1976-04-01,5.60678
1976-05-01,5.69496
1976-06-01,5.49326
1976-07-01,5.12380
1976-08-01,5.24845
1976-09-01,5.31985
1976-10-01,5.26152
1976-11-01,5.06316
1976-12-01,5.06947
1977-01-01,5.27801
1977-02-01,5.96767
1977-03-01,6.34199
1977-04-01,6.71675
1977-05-01,6.74524
1977-06-01,6.87701
1977-07-01,6.89241
1977-08-01,6.80159
1977-09-01,6.60178
1977-10-01,6.53779
1977-11-01,6.66841
1977-12-01,6.58912
1978-01-01,6.59948
1978-02-01,6.26302
1978-03-01,6.41663
1978-04-01,6.60473
1978-05-01,6.82377
1978-06-01,6.92392
1978-07-01,6.95359
1978-08-01,6.99596
1978-09-01,7.20188
1978-10-01,7.55368
1978-11-01,7.54717
1978-12-01,7.52911
1979-01-01,7.70303
1979-02-01,7.77908
1979-03-01,7.92076
1979-04-01,8.22403
1979-05-01,8.57033
1979-06-01,8.75535
1979-07-01,8.98771
1979-08-01,9.27066
1979-09-01,9.61083
1979-10-01,9.63252
1979-11-01,9.76874
1979-12-01,10.17689
1980-01-01,10.49744
1980-02-01,11.10209
1980-03-01,11.59368
1980-04-01,11.02072
1980-05-01,10.73634
1980-06-01,10.52447
1980-07-01,10.53843
1980-08-01,10.61246
1980-09-01,10.65926
1980-10-01,10.64636
1980-11-01,10.77785
1980-12-01,10.56708
1981-01-01,10.47284
1981-02-01,10.39321
1981-03-01,9.81436
1981-04-01,9.72126
1981-05-01,9.36379
1981-06-01,9.10977
1981-07-01,8.92334
1981-08-01,8.69826
1981-09-01,8.35436
1981-10-01,7.97856
1981-11-01,7.68222
1981-12-01,7.31855
1982-01-01,6.92850
1982-02-01,6.17456
1982-03-01,5.71267
1982-04-01,5.30650
1982-05-01,5.45573
1982-06-01,5.80102
1982-07-01,5.78843
1982-08-01,5.45856
1982-09-01,5.11379
1982-10-01,5.22852
1982-11-01,4.97868
1982-12-01,4.81374
1983-01-01,4.68184
1983-02-01,4.54536
1983-03-01,4.41148
1983-04-01,4.83342
1983-05-01,4.51322
1983-06-01,4.14658
1983-07-01,4.11587
1983-08-01,4.23931
1983-09-01,4.31330
1983-10-01,3.90890
1983-11-01,3.74391
1983-12-01,3.64517
1984-01-01,3.61173
1984-02-01,4.13189
1984-03-01,4.34006
1984-04-01,4.26110
1984-05-01,4.09619
1984-06-01,3.89418
1984-07-01,3.68262
1984-08-01,3.55628
1984-09-01,3.33761
1984-10-01,3.40386
1984-11-01,3.40310
1984-12-01,3.63673
1985-01-01,3.70444
1985-02-01,3.49021
1985-03-01,3.55351
1985-04-01,3.31269
1985-05-01,3.42796
1985-06-01,3.52348
1985-07-01,3.40772
1985-08-01,3.43221
1985-09-01,3.46633
1985-10-01,3.39432
1985-11-01,3.54991
1985-12-01,3.60733
1986-01-01,3.56445
1986-02-01,3.08637
1986-03-01,2.46062
1986-04-01,2.10033
1986-05-01,2.04615
1986-06-01,2.14822
1986-07-01,1.92453
1986-08-01,1.71547
1986-09-01,1.87559
1986-10-01,1.88930
1986-11-01,1.77566
1986-12-01,1.57078
1987-01-01,1.57840
1987-02-01,1.93553
1987-03-01,2.42749
1987-04-01,3.02157
1987-05-01,3.09393
1987-06-01,3.10282
1987-07-01,3.31264
1987-08-01,3.59080
1987-09-01,3.60118
1987-10-01,3.74341
1987-11-01,3.75692
1987-12-01,3.80673
1988-01-01,3.72712
1988-02-01,3.51438
1988-03-01,3.59930
1988-04-01,3.71580
1988-05-01,3.75315
1988-06-01,3.80169
1988-07-01,4.06660
1988-08-01,3.96509
1988-09-01,4.12044
1988-10-01,4.12862
1988-11-01,4.17197
1988-12-01,4.30536
1989-01-01,4.43266
1989-02-01,4.62788
1989-03-01,4.65563
1989-04-01,4.84356
1989-05-01,4.92144
1989-06-01,4.70542
1989-07-01,4.44899
1989-08-01,4.15139
1989-09-01,3.87724
1989-10-01,3.94453
1989-11-01,3.93028
1989-12-01,3.90622
1990-01-01,4.16043
1990-02-01,4.27233
1990-03-01,4.27653
1990-04-01,3.80366
1990-05-01,3.65926
1990-06-01,3.88871
1990-07-01,3.89754
1990-08-01,4.57649
1990-09-01,4.98490
1990-10-01,5.17478
1990-11-01,5.07863
1990-12-01,4.87368
1991-01-01,4.48021
1991-02-01,4.07478
1991-03-01,3.70560
1991-04-01,3.67707
1991-05-01,3.87289
1991-06-01,3.59076
1991-07-01,3.49797
1991-08-01,3.05171
1991-09-01,2.77669
1991-10-01,2.38314
1991-11-01,2.47791
1991-12-01,2.63848
1992-01-01,2.38897
1992-02-01,2.59626
1992-03-01,2.82427
1992-04-01,2.91470
1992-05-01,2.62483
1992-06-01,2.63420
1992-07-01,2.81059
1992-08-01,2.71100
1992-09-01,2.52521
1992-10-01,2.69511
1992-11-01,2.67101
1992-12-01,2.59332
1993-01-01,2.70450
1993-02-01,2.59830
1993-03-01,2.56048
1993-04-01,2.55508
1993-05-01,2.73719
1993-06-01,2.59048
1993-07-01,2.41529
1993-08-01,2.45367
1993-09-01,2.39328
1993-10-01,2.35381
1993-11-01,2.34624
1993-12-01,2.19191
1994-01-01,1.97643
1994-02-01,2.06004
1994-03-01,2.13196
1994-04-01,1.98175
1994-05-01,1.81403
1994-06-01,2.02733
1994-07-01,2.18686
1994-08-01,2.24550
1994-09-01,2.25330
1994-10-01,2.10467
1994-11-01,2.10646
1994-12-01,2.14922
1995-01-01,2.32143
1995-02-01,2.26574
1995-03-01,2.17204
1995-04-01,2.32129
1995-05-01,2.33080
1995-06-01,2.18105
1995-07-01,1.98649
1995-08-01,1.97344
1995-09-01,1.92872
1995-10-01,2.02167
1995-11-01,1.82437
1995-12-01,1.95301
1996-01-01,1.97443
1996-02-01,1.95406
1996-03-01,2.07395
1996-04-01,2.11048
1996-05-01,2.12959
1996-06-01,2.02839
1996-07-01,2.11790
1996-08-01,1.99368
1996-09-01,2.21200
1996-10-01,2.25618
1996-11-01,2.44068
1996-12-01,2.36266
1997-01-01,2.26764
1997-02-01,2.32199
1997-03-01,2.12117
1997-04-01,1.91609
1997-05-01,1.69250
1997-06-01,1.82525
1997-07-01,1.66983
1997-08-01,1.65598
1997-09-01,1.61459
1997-10-01,1.43884
1997-11-01,1.26301
1997-12-01,1.12499
1998-01-01,1.04386
1998-02-01,0.78024
1998-03-01,0.69057
1998-04-01,0.71545
1998-05-01,0.90146
1998-06-01,0.68664
1998-07-01,0.87559
1998-08-01,0.93393
1998-09-01,0.63183
1998-10-01,0.72192
1998-11-01,0.72322
1998-12-01,0.84506
1999-01-01,0.93819
1999-02-01,0.93198
1999-03-01,0.99199
1999-04-01,1.35530
1999-05-01,1.28144
1999-06-01,1.39862
1999-07-01,1.41781
1999-08-01,1.46105
1999-09-01,1.88491
1999-10-01,1.83433
1999-11-01,1.92050
1999-12-01,2.05516
2000-01-01,2.18862
2000-02-01,2.56743
2000-03-01,2.93086
2000-04-01,2.35028
2000-05-01,2.36982
2000-06-01,2.68495
2000-07-01,2.66864
2000-08-01,2.47645
2000-09-01,2.54854
2000-10-01,2.51424
2000-11-01,2.56537
2000-12-01,2.48538
2001-01-01,2.70148
2001-02-01,2.53933
2001-03-01,2.10919
2001-04-01,2.37354
2001-05-01,2.55675
2001-06-01,2.39173
2001-07-01,2.10193
2001-08-01,2.09567
2001-09-01,1.31390
2001-10-01,1.53207
2001-11-01,1.32170
2001-12-01,1.06233
2002-01-01,0.66612
2002-02-01,0.67768
2002-03-01,0.94338
2002-04-01,1.18817
2002-05-01,0.98817
2002-06-01,0.93509
2002-07-01,1.19212
2002-08-01,1.40392
2002-09-01,1.93272
2002-10-01,1.75939
2002-11-01,1.92975
2002-12-01,2.13244
2003-01-01,2.34482
2003-02-01,2.60616
2003-03-01,2.58909
2003-04-01,1.98934
2003-05-01,1.80676
2003-06-01,1.78837
2003-07-01,1.86239
2003-08-01,2.00571
2003-09-01,2.14140
2003-10-01,1.96894
2003-11-01,1.99648
2003-12-01,2.12353
2004-01-01,2.21273
2004-02-01,1.99978
2004-03-01,1.89616
2004-04-01,2.25877
2004-05-01,2.70778
2004-06-01,2.89129
2004-07-01,2.68481
2004-08-01,2.39245
2004-09-01,2.27273
2004-10-01,2.69967
2004-11-01,2.96503
2004-12-01,2.79375
2005-01-01,2.53262
2005-02-01,2.59896
2005-03-01,2.74774
2005-04-01,2.84390
2005-05-01,2.56989
2005-06-01,2.33993
2005-07-01,2.67968
2005-08-01,3.04012
2005-09-01,3.83077
2005-10-01,3.55116
2005-11-01,2.93935
2005-12-01,2.88395
2006-01-01,3.24706
2006-02-01,3.02250
2006-03-01,2.91357
2006-04-01,3.10237
2006-05-01,3.32176
2006-06-01,3.51295
2006-07-01,3.42781
2006-08-01,3.33601
2006-09-01,2.08113
2006-10-01,1.67724
2006-11-01,1.92408
2006-12-01,2.28684
2007-01-01,2.13322
2007-02-01,2.38868
2007-03-01,2.56581
2007-04-01,2.33149
2007-05-01,2.35323
2007-06-01,2.31726
2007-07-01,2.12444
2007-08-01,1.87347
2007-09-01,2.53418
2007-10-01,3.08932
2007-11-01,3.59924
2007-12-01,3.47197
2008-01-01,3.38840
2008-02-01,3.27298
2008-03-01,3.19059
2008-04-01,3.14030
2008-05-01,3.28228
2008-06-01,3.81178
2008-07-01,4.13540
2008-08-01,3.98108
2008-09-01,3.66714
2008-10-01,2.67195
2008-11-01,0.92617
2008-12-01,0.12893
2009-01-01,-0.11146
2009-02-01,-0.13156
2009-03-01,-0.52581
2009-04-01,-0.56742
2009-05-01,-0.88936
2009-06-01,-1.01872
2009-07-01,-1.46654
2009-08-01,-1.10079
2009-09-01,-1.02236
2009-10-01,0.01265
2009-11-01,1.45973
2009-12-01,2.09031
2010-01-01,2.30143
2010-02-01,2.11633
2010-03-01,2.37276
2010-04-01,2.28156
2010-05-01,2.20753
2010-06-01,1.56189
2010-07-01,1.63826
2010-08-01,1.48300
2010-09-01,1.41921
2010-10-01,1.35798
2010-11-01,1.30727
2010-12-01,1.47677
2011-01-01,1.55955
2011-02-01,1.84593
2011-03-01,2.11144
2011-04-01,2.48712
2011-05-01,2.76679
2011-06-01,2.78889
2011-07-01,2.87540
2011-08-01,2.97592
2011-09-01,3.01889
2011-10-01,2.69413
2011-11-01,2.70018
2011-12-01,2.52628
2012-01-01,2.56932
2012-02-01,2.51274
2012-03-01,2.29650
2012-04-01,1.99984
2012-05-01,1.57628
2012-06-01,1.54605
2012-07-01,1.41023
2012-08-01,1.51242
2012-09-01,1.67742
2012-10-01,1.97721
2012-11-01,1.69922
2012-12-01,1.62552
2013-01-01,1.47398
2013-02-01,1.61836
2013-03-01,1.29142
2013-04-01,1.07945
2013-05-01,1.25910
2013-06-01,1.52852
2013-07-01,1.61821
2013-08-01,1.43392
2013-09-01,1.16658
2013-10-01,1.03797
2013-11-01,1.26430
2013-12-01,1.48221
2014-01-01,1.47936
2014-02-01,1.16849
2014-03-01,1.50461
2014-04-01,1.78119
2014-05-01,1.88991
2014-06-01,1.78508
2014-07-01,1.81147
2014-08-01,1.64220
2014-09-01,1.62777
2014-10-01,1.43037
2014-11-01,1.19453
2014-12-01,0.83853
2015-01-01,0.18284
2015-02-01,0.28924
2015-03-01,0.28086
2015-04-01,0.16352
2015-05-01,0.23028
2015-06-01,0.31154
2015-07-01,0.24324
2015-08-01,0.25684
2015-09-01,0.08333
2015-10-01,0.09401
2015-11-01,0.23182
2015-12-01,0.30406
2016-01-01,0.82077
2016-02-01,0.59240
2016-03-01,0.63211
2016-04-01,0.88718
2016-05-01,0.79588
2016-06-01,0.79241
2016-07-01,0.75115
2016-08-01,0.90099
2016-09-01,1.22569
2016-10-01,1.46407
2016-11-01,1.44092
2016-12-01,1.70842
2017-01-01,2.03473
2017-02-01,2.25490
2017-03-01,1.96268
2017-04-01,1.85026
2017-05-01,1.67056
2017-06-01,1.57427
2017-07-01,1.55827
2017-08-01,1.64696
2017-09-01,1.85166
2017-10-01,1.77695
2017-11-01,1.90697
2017-12-01,1.86922
2018-01-01,1.85375
2018-02-01,1.94658
2018-03-01,2.14668
2018-04-01,2.12211
2018-05-01,2.34501
2018-06-01,2.36450
2018-07-01,2.43287
2018-08-01,2.27065
2018-09-01,2.11004
2018-10-01,2.13412
2018-11-01,2.00702
2018-12-01,1.87979
2019-01-01,1.50426
2019-02-01,1.41324
2019-03-01,1.54578
2019-04-01,1.65944
2019-05-01,1.53707
2019-06-01,1.49376
2019-07-01,1.54681
2019-08-01,1.50228
2019-09-01,1.35095
2019-10-01,1.37619
2019-11-01,1.37654
2019-12-01,1.60105
2020-01-01,1.80497
2020-02-01,1.76278
2020-03-01,1.26184
2020-04-01,0.41629
2020-05-01,0.45241
2020-06-01,0.73771
2020-07-01,0.88833
2020-08-01,1.16133
2020-09-01,1.27578
2020-10-01,1.10937
2020-11-01,1.08356
2020-12-01,1.27691
2021-01-01,1.47732
2021-02-01,1.70253
2021-03-01,2.53375
2021-04-01,3.62945
2021-05-01,4.04701
2021-06-01,4.25478
2021-07-01,4.42416
2021-08-01,4.51751
2021-09-01,4.65448
2021-10-01,5.22266
2021-11-01,5.85138
2021-12-01,5.96612
2022-01-01,6.11638
2022-02-01,6.38893
2022-03-01,6.76658
2022-04-01,6.41205
2022-05-01,6.51547
2022-06-01,6.97570
2022-07-01,6.38956
2022-08-01,6.25537
2022-09-01,6.28895
2022-10-01,6.12620
2022-11-01,5.65905
2022-12-01,5.30120
2023-01-01,5.38131
2023-02-01,5.07497
2023-03-01,4.16416
